"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","ZWP-1.F","","5 minutes"
"Point_2:","ZWP-2.F","","5 minutes"
"Point_3:","ZWP-3.F","","5 minutes"
"Point_4:","ZWP-4.F","","5 minutes"
"Point_5:","ZWP-5.F","","5 minutes"
"Point_6:","ZWP-6.F","","5 minutes"
"Point_7:","ZWP-7.F","","5 minutes"
"Point_8:","ZWP-8.F","","5 minutes"
"Point_9:","ZWP-9.F","","5 minutes"
"Point_10:","ZON1.WDP","","5 minutes"
"Point_11:","ZON2.WDP","","5 minutes"
"Point_12:","ZWP-Z1.WDP","","5 minutes"
"Point_13:","ZWP-Z2.WDP","","5 minutes"
"Point_14:","ZWP-Z3.WDP","","5 minutes"
"Time Interval:","15 Minutes"
"Date Range:","2016/10/10 00:00:00 - 2016/12/10 23:59:59"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3","Point_4","Point_5","Point_6","Point_7","Point_8","Point_9","Point_10","Point_11","Point_12","Point_13","Point_14"
"2016/10/10","00:00:00","51.4","50.4","1.2","38.1","35.6","2.3","32.0"," -0.2","1.0","No Data","No Data","1.2","7.4","3.8"
"2016/10/10","00:15:00","50.9","49.8","1.2","38.0","35.6","2.3","28.0"," -0.2","1.0","No Data","No Data","0.9","7.4","3.9"
"2016/10/10","00:30:00","54.4","53.6","1.2","38.1","35.6","2.3","31.1","29.5","1.0","No Data","No Data","2.1","8.2","3.5"
"2016/10/10","00:45:00","51.4","50.3","1.2","38.1","35.7","2.3","28.9"," -0.2","1.0","No Data","No Data","1.0","7.5","3.9"
"2016/10/10","01:00:00","50.9","49.7","1.2","38.1","35.7","2.3","32.1"," -0.2","1.0","No Data","No Data","1.2","7.3","3.8"
"2016/10/10","01:15:00","52.8","51.9","1.2","38.1","35.6","2.3","35.6"," -0.2","1.0","No Data","No Data","1.5","7.8","3.8"
"2016/10/10","01:30:00","50.8","49.6","1.2","38.1","35.6","2.3","27.1"," -0.2","1.0","No Data","No Data","1.0","7.4","4.0"
"2016/10/10","01:45:00","50.9","49.8","1.2","38.0","35.7","2.3","25.7"," -0.2","1.0","No Data","No Data","0.9","7.4","4.1"
"2016/10/10","02:00:00","52.5","51.5","1.2","38.1","35.6","2.3","34.1"," -0.2","1.0","No Data","No Data","1.4","7.8","3.9"
"2016/10/10","02:15:00","51.0","49.9","1.2","38.1","35.6","2.3","26.8"," -0.2","1.0","No Data","No Data","1.0","7.4","4.1"
"2016/10/10","02:30:00","50.9","49.7","1.2","38.1","35.6","2.3","30.1"," -0.2","1.0","No Data","No Data","1.1","7.3","4.1"
"2016/10/10","02:45:00","50.6","49.5","1.2","38.0","35.7","2.3","26.2"," -0.2","1.0","No Data","No Data","0.9","7.4","4.2"
"2016/10/10","03:00:00","50.6","49.4","1.2","38.1","35.6","2.3","26.0"," -0.2","1.0","No Data","No Data","1.0","7.3","4.3"
"2016/10/10","03:15:00","50.6","49.3","1.2","38.1","35.6","2.3","25.7"," -0.2","1.0","No Data","No Data","0.9","7.3","4.2"
"2016/10/10","03:30:00","50.6","49.4","1.2","38.1","35.6","2.3","25.7"," -0.2","1.0","No Data","No Data","0.9","7.4","4.2"
"2016/10/10","03:45:00","50.9","49.8","1.2","38.0","35.6","2.3","26.1"," -0.2","1.0","No Data","No Data","0.9","7.4","4.2"
"2016/10/10","04:00:00","50.9","49.8","1.2","38.1","35.7","2.3","25.7"," -0.2","1.0","No Data","No Data","0.9","7.4","4.2"
"2016/10/10","04:15:00","50.4","49.2","1.2","38.0","35.6","2.3","25.9"," -0.2","1.0","No Data","No Data","0.9","7.3","4.3"
"2016/10/10","04:30:00","50.7","49.5","1.2","38.1","35.6","2.3","25.7"," -0.2","1.0","No Data","No Data","0.9","7.3","4.2"
"2016/10/10","04:45:00","50.9","49.8","1.2","38.0","35.6","2.3","27.3"," -0.2","1.0","No Data","No Data","1.0","7.4","4.1"
"2016/10/10","05:00:00","51.3","50.1","1.2","38.0","35.6","2.3","30.5"," -0.2","1.0","No Data","No Data","1.2","7.4","4.0"
"2016/10/10","05:15:00","50.6","49.4","1.2","38.1","35.6","2.3","26.6"," -0.2","1.0","No Data","No Data","0.9","7.3","4.1"
"2016/10/10","05:30:00","50.9","49.7","1.2","38.0","35.7","2.3","26.3"," -0.2","1.0","No Data","No Data","0.9","7.4","4.2"
"2016/10/10","05:45:00","51.1","49.9","1.2","38.0","35.6","2.3","26.8"," -0.2","1.0","No Data","No Data","1.0","7.5","4.1"
"2016/10/10","06:00:00","50.9","49.8","1.2","38.1","35.6","2.3","28.8"," -0.2","1.0","No Data","No Data","1.1","7.4","4.1"
"2016/10/10","06:15:00","50.4","49.2","1.2","38.0","35.6","2.3","25.7"," -0.2","1.0","No Data","No Data","0.9","7.3","4.2"
"2016/10/10","06:30:00","50.8","49.6","1.3","38.0","35.7","2.3","25.9"," -0.2","1.0","No Data","No Data","0.9","7.4","4.2"
"2016/10/10","06:45:00","50.5","49.3","1.2","38.1","35.6","2.3","26.1"," -0.2","1.0","No Data","No Data","0.9","7.3","4.1"
"2016/10/10","07:00:00","52.5","51.5","1.2","38.1","35.6","2.3","41.0"," -0.2","1.0","No Data","No Data","1.9","7.6","3.7"
"2016/10/10","07:15:00","51.4","50.3","1.2","38.1","35.6","2.3","30.6"," -0.2","1.0","No Data","No Data","1.1","7.5","4.0"
"2016/10/10","07:30:00","51.7","50.6","1.2","38.1","35.6","2.3","28.1"," -0.2","1.0","No Data","No Data","1.0","7.6","4.0"
"2016/10/10","07:45:00","50.8","49.6","1.2","38.0","35.6","2.3","26.7"," -0.2","1.0","No Data","No Data","0.9","7.4","4.1"
"2016/10/10","08:00:00","52.2","51.5","1.2","38.1","35.6","2.3","34.5"," -0.2","1.0","No Data","No Data","1.3","7.5","3.8"
"2016/10/10","08:15:00","51.6","50.8","1.2","38.0","35.7","2.3","30.8"," -0.2","1.0","No Data","No Data","1.1","7.4","3.9"
"2016/10/10","08:30:00","51.8","51.0","1.2","38.1","35.6","2.3","30.7"," -0.2","1.0","No Data","No Data","1.1","7.4","3.7"
"2016/10/10","08:45:00","53.1","52.4","1.2","38.1","35.6","2.3","36.1","34.5","1.0","No Data","No Data","2.8","7.6","3.5"
"2016/10/10","09:00:00","52.5","51.8","1.2","38.1","35.6","2.3","34.2"," -0.2","1.0","No Data","No Data","1.3","7.5","3.7"
"2016/10/10","09:15:00","52.4","51.6","1.2","38.0","35.6","2.3","29.7"," -0.2","1.0","No Data","No Data","1.0","7.6","3.7"
"2016/10/10","09:30:00","51.5","50.7","1.2","38.1","35.6","2.3","29.0"," -0.2","1.0","No Data","No Data","1.0","7.3","3.8"
"2016/10/10","09:45:00","54.0","53.4","1.2","38.1","35.6","2.3","39.2","37.6","1.0","No Data","No Data","3.2","7.8","3.2"
"2016/10/10","10:00:00","51.8","51.0","1.2","38.1","35.6","2.3","31.1"," -0.2","1.0","No Data","No Data","1.1","7.4","3.6"
"2016/10/10","10:15:00","52.2","51.3","1.2","38.1","35.6","2.3","33.6"," -0.2","1.0","No Data","No Data","1.2","7.5","3.6"
