"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","MMCB.KW","","5 minutes"
"Point_2:","MMCB.KWH","","15 minutes"
"Point_3:","MMCB.RA","","5 minutes"
"Point_4:","MMCB.SA","","5 minutes"
"Point_5:","MMCB.TA","","5 minutes"
"Time Interval:","15 Minutes"
"Date Range:","2017/4/11 00:00:00 - 2017/7/10 23:59:59"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3","Point_4","Point_5"
"2017/4/11","00:00:00","4624","12613179","3790.01","4153.78","3787.40"
"2017/4/11","00:15:00","4518","12613289","3765.24","4129.78","3763.30"
"2017/4/11","00:30:00","4560","12613394","3774.96","4139.86","3771.73"
"2017/4/11","00:45:00","4473","12613504","3760.11","4114.47","3754.66"
"2017/4/11","01:00:00","4675","12613609","3804.67","4167.87","3801.99"
"2017/4/11","01:15:00","4378","12613719","3733.29","4093.35","3731.62"
"2017/4/11","01:30:00","4476","12613824","3756.13","4120.49","3752.62"
"2017/4/11","01:45:00","4446","12613929","3750.66","4115.98","3746.64"
"2017/4/11","02:00:00","4513","12614034","3763.02","4127.29","3762.92"
"2017/4/11","02:15:00","4485","12614144","3752.27","4120.45","3749.07"
"2017/4/11","02:30:00","4497","12614249","3752.08","4123.46","3754.07"
"2017/4/11","02:45:00","4506","12614354","3758.22","4125.83","3756.11"
"2017/4/11","03:00:00","4503","12614464","3761.94","4124.29","3758.03"
"2017/4/11","03:15:00","4576","12614569","3773.20","4141.49","3771.65"
"2017/4/11","03:30:00","4414","12614674","3733.78","4101.90","3736.17"
"2017/4/11","03:45:00","4439","12614779","3739.65","4106.54","3737.10"
"2017/4/11","04:00:00","4325","12614884","3722.33","4084.26","3721.87"
"2017/4/11","04:15:00","4335","12614989","3730.03","4089.73","3726.76"
"2017/4/11","04:30:00","4453","12615089","3760.23","4118.76","3755.31"
"2017/4/11","04:45:00","4366","12615194","3738.10","4102.68","3741.28"
"2017/4/11","05:00:00","4506","12615299","3766.80","4129.49","3759.77"
"2017/4/11","05:15:00","4432","12615404","3750.93","4111.79","3747.50"
"2017/4/11","05:30:00","4606","12615509","3797.48","4161.14","3794.28"
"2017/4/11","05:45:00","4536","12615614","3777.62","4143.81","3777.37"
"2017/4/11","06:00:00","4489","12615724","3764.50","4127.99","3763.30"
"2017/4/11","06:15:00","4528","12615829","3776.23","4142.51","3776.05"
"2017/4/11","06:30:00","4555","12615934","3780.21","4145.14","3785.90"
"2017/4/11","06:45:00","4615","12616044","3789.62","4160.30","3792.99"
"2017/4/11","07:00:00","4671","12616154","3814.92","4184.49","3811.11"
"2017/4/11","07:15:00","4810","12616264","3853.88","4213.08","3847.69"
"2017/4/11","07:30:00","5092","12616384","3923.06","4276.41","3913.19"
"2017/4/11","07:45:00","5276","12616504","3969.87","4331.21","3967.03"
"2017/4/11","08:00:00","5698","12616634","4065.52","4434.44","4063.38"
"2017/4/11","08:15:00","5928","12616769","4130.70","4498.53","4123.01"
"2017/4/11","08:30:00","5908","12616909","4116.45","4489.05","4117.36"
"2017/4/11","08:45:00","6054","12617054","4158.09","4525.04","4153.48"
"2017/4/11","09:00:00","6080","12617199","4166.76","4533.82","4160.13"
"2017/4/11","09:15:00","6259","12617349","4193.13","4562.53","4186.14"
"2017/4/11","09:30:00","6317","12617499","4210.68","4574.18","4203.84"
"2017/4/11","09:45:00","6167","12617649","4168.22","4539.73","4174.15"
"2017/4/11","10:00:00","6332","12617799","4211.79","4579.78","4220.83"
"2017/4/11","10:15:00","6318","12617954","4212.24","4576.66","4210.73"
"2017/4/11","10:30:00","6343","12618104","4219.17","4593.65","4218.21"
"2017/4/11","10:45:00","6323","12618254","4218.19","4586.94","4214.23"
"2017/4/11","11:00:00","6318","12618409","4220.92","4589.62","4216.85"
"2017/4/11","11:15:00","6248","12618559","4201.52","4566.21","4196.67"
"2017/4/11","11:30:00","6407","12618714","4243.22","4605.68","4243.61"
"2017/4/11","11:45:00","6586","12618869","4273.59","4645.18","4278.80"
"2017/4/11","12:00:00","6653","12619024","4299.75","4658.69","4293.47"
"2017/4/11","12:15:00","6701","12619189","4297.91","4672.45","4303.54"
"2017/4/11","12:30:00","6564","12619349","4275.56","4636.54","4270.46"
"2017/4/11","12:45:00","6446","12619509","4235.75","4597.85","4234.26"
"2017/4/11","13:00:00","6362","12619664","4219.15","4588.40","4230.36"
"2017/4/11","13:15:00","6217","12619819","4178.13","4549.88","4184.34"
"2017/4/11","13:30:00","6126","12619969","4162.24","4531.37","4168.56"
"2017/4/11","13:45:00","6287","12620119","4200.95","4567.76","4206.46"
"2017/4/11","14:00:00","6378","12620269","4223.24","4595.89","4228.54"
