"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","ZWP-1.F","","5 minutes"
"Point_2:","ZWP-2.F","","5 minutes"
"Point_3:","ZWP-3.F","","5 minutes"
"Point_4:","ZWP-4.F","","5 minutes"
"Point_5:","ZWP-5.F","","5 minutes"
"Point_6:","ZWP-6.F","","5 minutes"
"Point_7:","ZWP-7.F","","5 minutes"
"Point_8:","ZWP-8.F","","5 minutes"
"Point_9:","ZWP-9.F","","5 minutes"
"Point_10:","ZON1.WDP","","5 minutes"
"Point_11:","ZON2.WDP","","5 minutes"
"Point_12:","ZWP-Z1.WDP","","5 minutes"
"Point_13:","ZWP-Z2.WDP","","5 minutes"
"Point_14:","ZWP-Z3.WDP","","5 minutes"
"Time Interval:","15 Minutes"
"Date Range:","2016/12/11 00:00:00 - 2017/2/10 23:59:59"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3","Point_4","Point_5","Point_6","Point_7","Point_8","Point_9","Point_10","Point_11","Point_12","Point_13","Point_14"
"2016/12/11","00:00:00","52.6","51.7","1.2","38.1","35.6","2.3","26.4"," -0.2","1.0","No Data","No Data","0.8","7.4","3.8"
"2016/12/11","00:15:00","52.6","51.7","1.2","38.1","35.7","2.3","26.4"," -0.2","1.0","No Data","No Data","0.8","7.6","3.8"
"2016/12/11","00:30:00","51.8","50.9","1.2","38.1","35.6","2.3","26.0"," -0.2","1.0","No Data","No Data","0.8","7.4","3.8"
"2016/12/11","00:45:00","51.9","51.0","1.2","38.1","35.7","2.3","25.9"," -0.2","1.0","No Data","No Data","0.8","7.4","3.8"
"2016/12/11","01:00:00","51.8","50.9","1.3","38.1","35.7","2.3","25.8"," -0.2","1.0","No Data","No Data","0.8","7.4","3.8"
"2016/12/11","01:15:00","51.8","50.8","1.2","38.1","35.7","2.3","26.1"," -0.2","1.0","No Data","No Data","0.8","7.2","3.8"
"2016/12/11","01:30:00","51.9","51.0","1.2","38.1","35.6","2.3","25.8"," -0.2","1.0","No Data","No Data","0.8","7.4","3.8"
"2016/12/11","01:45:00","51.8","50.9","1.2","38.1","35.7","2.3","25.8"," -0.2","1.0","No Data","No Data","0.9","7.4","3.9"
"2016/12/11","02:00:00","52.3","51.4","1.3","38.1","35.6","2.3","25.8"," -0.2","1.0","No Data","No Data","0.8","7.5","3.8"
"2016/12/11","02:15:00","51.7","50.8","1.2","38.1","35.6","2.3","26.1"," -0.2","1.0","No Data","No Data","0.8","7.2","3.8"
"2016/12/11","02:30:00","51.8","50.8","1.2","38.1","35.6","2.3","26.0"," -0.2","1.0","No Data","No Data","0.8","7.3","3.8"
"2016/12/11","02:45:00","51.7","50.7","1.2","38.1","35.7","2.3","25.9"," -0.2","1.0","No Data","No Data","0.8","7.3","3.9"
"2016/12/11","03:00:00","51.8","50.8","1.3","38.1","35.6","2.3","26.2"," -0.2","1.0","No Data","No Data","0.8","7.3","3.8"
"2016/12/11","03:15:00","52.1","51.2","1.3","38.1","35.6","2.3","26.0"," -0.2","1.0","No Data","No Data","0.8","7.3","3.9"
"2016/12/11","03:30:00","51.7","50.8","1.3","38.1","35.7","2.3","25.8"," -0.2","1.0","No Data","No Data","0.8","7.3","3.9"
"2016/12/11","03:45:00","52.0","51.1","1.2","38.1","35.6","2.3","25.7"," -0.2","1.0","No Data","No Data","0.8","7.4","3.9"
"2016/12/11","04:00:00","51.7","50.8","1.2","38.1","35.6","2.3","25.7"," -0.2","1.0","No Data","No Data","0.8","7.2","3.9"
"2016/12/11","04:15:00","52.0","51.1","1.3","38.1","35.7","2.3","25.7"," -0.2","1.0","No Data","No Data","0.8","7.4","3.9"
"2016/12/11","04:30:00","51.8","50.8","1.3","38.1","35.7","2.3","25.7"," -0.2","1.0","No Data","No Data","0.8","7.3","3.9"
"2016/12/11","04:45:00","51.8","50.9","1.2","38.1","35.7","2.3","25.8"," -0.2","1.0","No Data","No Data","0.9","7.2","3.9"
"2016/12/11","05:00:00","51.8","50.9","1.2","38.1","35.6","2.3","25.8"," -0.2","1.0","No Data","No Data","0.9","7.4","3.9"
"2016/12/11","05:15:00","53.3","52.5","1.2","38.1","35.6","2.3","25.7"," -0.2","1.0","No Data","No Data","0.8","7.8","3.8"
"2016/12/11","05:30:00","51.8","50.9","1.2","38.1","35.6","2.3","25.8"," -0.2","1.0","No Data","No Data","0.8","7.1","3.8"
"2016/12/11","05:45:00","51.7","50.8","1.2","38.1","35.6","2.3","25.7"," -0.2","1.0","No Data","No Data","0.9","7.2","3.8"
"2016/12/11","06:00:00","51.8","50.8","1.2","38.1","35.7","2.3","25.7"," -0.2","1.0","No Data","No Data","0.8","7.3","3.9"
"2016/12/11","06:15:00","51.6","50.7","1.2","38.1","35.7","2.3","25.7"," -0.2","1.0","No Data","No Data","0.9","7.1","3.9"
"2016/12/11","06:30:00","51.8","50.9","1.2","38.1","35.7","2.3","25.7"," -0.2","1.0","No Data","No Data","0.9","7.3","3.9"
"2016/12/11","06:45:00","51.8","50.9","1.2","38.1","35.6","2.3","25.7"," -0.2","1.0","No Data","No Data","0.8","7.4","3.9"
"2016/12/11","07:00:00","51.8","50.9","1.2","38.1","35.7","2.3","25.7"," -0.2","1.0","No Data","No Data","0.8","7.2","3.9"
"2016/12/11","07:15:00","51.6","50.7","1.2","38.1","35.6","2.3","25.8"," -0.2","1.0","No Data","No Data","0.9","7.3","3.8"
"2016/12/11","07:30:00","51.8","50.7","1.2","38.1","35.7","2.3","25.8"," -0.2","1.0","No Data","No Data","0.8","7.3","3.9"
"2016/12/11","07:45:00","51.9","50.9","1.3","38.1","35.7","2.3","26.2"," -0.2","1.0","No Data","No Data","0.8","7.2","3.7"
"2016/12/11","08:00:00","51.9","50.9","1.3","38.1","35.7","2.3","26.0"," -0.2","1.0","No Data","No Data","0.8","7.3","3.8"
"2016/12/11","08:15:00","51.8","50.8","1.3","38.0","35.7","2.3","26.5"," -0.2","1.0","No Data","No Data","0.8","7.3","3.6"
"2016/12/11","08:30:00","51.8","50.9","1.2","38.1","35.6","2.3","26.7"," -0.2","1.0","No Data","No Data","0.8","7.3","3.6"
"2016/12/11","08:45:00","51.9","50.9","1.2","38.1","35.7","2.3","27.0"," -0.2","1.0","No Data","No Data","0.8","7.4","3.5"
"2016/12/11","09:00:00","52.1","51.2","1.2","38.1","35.7","2.3","27.3"," -0.2","1.0","No Data","No Data","0.8","7.4","3.5"
"2016/12/11","09:15:00","52.2","51.3","1.2","38.1","35.6","2.3","27.7"," -0.2","1.0","No Data","No Data","0.8","7.4","3.5"
