"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","MMCB.KW","","5 minutes"
"Point_2:","MMCB.KWH","","15 minutes"
"Point_3:","MMCB.RA","","5 minutes"
"Point_4:","MMCB.SA","","5 minutes"
"Point_5:","MMCB.TA","","5 minutes"
"Time Interval:","15 Minutes"
"Date Range:","2016/12/11 00:00:00 - 2017/2/10 23:59:59"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3","Point_4","Point_5"
"2016/12/11","00:00:00","3644","11438575","3556.06","3920.02","3544.30"
"2016/12/11","00:15:00","3598","11438665","3548.19","3909.29","3536.60"
"2016/12/11","00:30:00","3613","11438750","3552.16","3907.62","3541.04"
"2016/12/11","00:45:00","3611","11438830","3552.95","3911.00","3543.01"
"2016/12/11","01:00:00","3588","11438915","3545.35","3901.45","3532.97"
"2016/12/11","01:15:00","3594","11439000","3547.43","3905.70","3534.35"
"2016/12/11","01:30:00","3588","11439085","3543.61","3904.59","3534.29"
"2016/12/11","01:45:00","3573","11439170","3544.37","3902.48","3531.94"
"2016/12/11","02:00:00","3522","11439250","3527.31","3883.60","3515.53"
"2016/12/11","02:15:00","3613","11439335","3555.02","3912.10","3539.12"
"2016/12/11","02:30:00","3617","11439420","3558.31","3913.77","3542.96"
"2016/12/11","02:45:00","3660","11439500","3561.24","3921.35","3546.38"
"2016/12/11","03:00:00","3600","11439585","3547.91","3911.72","3538.74"
"2016/12/11","03:15:00","3589","11439670","3548.22","3903.94","3534.80"
"2016/12/11","03:30:00","3567","11439755","3536.29","3897.90","3528.22"
"2016/12/11","03:45:00","3566","11439840","3536.84","3901.49","3522.02"
"2016/12/11","04:00:00","3582","11439920","3539.64","3900.93","3529.20"
"2016/12/11","04:15:00","3528","11440005","3522.47","3885.74","3514.37"
"2016/12/11","04:30:00","3564","11440090","3535.88","3893.99","3520.48"
"2016/12/11","04:45:00","3599","11440170","3546.25","3903.49","3533.04"
"2016/12/11","05:00:00","3631","11440255","3553.53","3913.82","3541.36"
"2016/12/11","05:15:00","3701","11440340","3571.02","3930.75","3558.65"
"2016/12/11","05:30:00","3736","11440425","3579.89","3936.31","3565.02"
"2016/12/11","05:45:00","3617","11440515","3554.27","3912.79","3538.21"
"2016/12/11","06:00:00","3584","11440600","3544.32","3897.08","3527.47"
"2016/12/11","06:15:00","3681","11440685","3568.11","3925.71","3556.49"
"2016/12/11","06:30:00","3619","11440770","3550.72","3909.73","3541.61"
"2016/12/11","06:45:00","3758","11440855","3577.64","3944.14","3576.24"
"2016/12/11","07:00:00","3680","11440940","3564.20","3925.66","3558.48"
"2016/12/11","07:15:00","3730","11441030","3579.47","3943.31","3567.95"
"2016/12/11","07:30:00","3743","11441115","3580.00","3945.15","3575.39"
"2016/12/11","07:45:00","3813","11441205","3589.21","3956.76","3587.42"
"2016/12/11","08:00:00","3889","11441290","3611.88","3983.30","3613.63"
"2016/12/11","08:15:00","3853","11441385","3600.84","3976.74","3597.05"
"2016/12/11","08:30:00","3890","11441475","3611.89","3980.35","3606.03"
"2016/12/11","08:45:00","4039","11441565","3656.07","4025.07","3644.11"
"2016/12/11","09:00:00","4070","11441660","3655.04","4029.24","3660.00"
"2016/12/11","09:15:00","4097","11441755","3665.03","4032.81","3658.80"
"2016/12/11","09:30:00","4124","11441850","3676.20","4044.10","3671.26"
"2016/12/11","09:45:00","4163","11441950","3680.83","4047.80","3680.00"
"2016/12/11","10:00:00","4086","11442050","3664.97","4035.52","3667.32"
"2016/12/11","10:15:00","4058","11442145","3660.71","4032.00","3658.54"
"2016/12/11","10:30:00","4141","11442240","3677.66","4051.35","3681.29"
"2016/12/11","10:45:00","4120","11442340","3665.45","4040.55","3674.06"
"2016/12/11","11:00:00","4102","11442435","3667.78","4041.75","3668.31"
"2016/12/11","11:15:00","4075","11442530","3664.72","4035.33","3668.83"
"2016/12/11","11:30:00","4132","11442630","3681.57","4051.90","3677.75"
"2016/12/11","11:45:00","4083","11442725","3666.50","4039.45","3665.79"
"2016/12/11","12:00:00","4113","11442820","3673.82","4041.26","3677.14"
"2016/12/11","12:15:00","4117","11442920","3677.46","4043.42","3668.16"
"2016/12/11","12:30:00","4174","11443015","3685.18","4059.53","3688.59"
"2016/12/11","12:45:00","4136","11443115","3680.11","4045.01","3672.02"
"2016/12/11","13:00:00","4079","11443210","3667.34","4032.76","3666.37"
"2016/12/11","13:15:00","4063","11443310","3664.00","4030.98","3660.06"
"2016/12/11","13:30:00","4017","11443405","3654.82","4025.38","3646.54"
"2016/12/11","13:45:00","4026","11443500","3649.80","4025.04","3648.17"
"2016/12/11","14:00:00","3942","11443595","3627.22","3995.38","3629.41"
"2016/12/11","14:15:00","4015","11443690","3654.90","4019.11","3645.89"
"2016/12/11","14:30:00","4187","11443785","3688.72","4059.27","3687.21"
"2016/12/11","14:45:00","4115","11443880","3670.66","4044.62","3666.66"
"2016/12/11","15:00:00","4115","11443975","3677.58","4044.17","3673.02"
"2016/12/11","15:15:00","4146","11444075","3684.64","4052.36","3677.68"
"2016/12/11","15:30:00","4129","11444170","3677.59","4051.64","3679.32"
"2016/12/11","15:45:00","4149","11444270","3687.59","4054.07","3683.68"
"2016/12/11","16:00:00","4127","11444365","3677.25","4049.32","3680.24"
"2016/12/11","16:15:00","4036","11444465","3654.42","4027.51","3655.34"
"2016/12/11","16:30:00","4065","11444560","3661.40","4031.81","3657.02"
"2016/12/11","16:45:00","4135","11444655","3677.75","4050.02","3676.65"
"2016/12/11","17:00:00","4110","11444755","3671.06","4040.00","3673.73"
"2016/12/11","17:15:00","4129","11444850","3679.49","4044.78","3676.93"
