"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","MMCB.KW","","5 minutes"
"Point_2:","MMCB.KWH","","15 minutes"
"Point_3:","MMCB.RA","","5 minutes"
"Point_4:","MMCB.SA","","5 minutes"
"Point_5:","MMCB.TA","","5 minutes"
"Time Interval:","15 Minutes"
"Date Range:","2016/10/10 00:00:00 - 2016/12/10 23:59:59"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3","Point_4","Point_5"
"2016/10/10","00:00:00","4583","10725945","3763.76","4141.07","3778.36"
"2016/10/10","00:15:00","4491","10726055","3739.55","4109.25","3756.39"
"2016/10/10","00:30:00","4590","10726165","3769.01","4141.79","3777.84"
"2016/10/10","00:45:00","4491","10726270","3741.79","4118.12","3756.64"
"2016/10/10","01:00:00","4448","10726380","3734.13","4105.90","3746.17"
"2016/10/10","01:15:00","4366","10726485","3713.02","4086.18","3725.30"
"2016/10/10","01:30:00","4315","10726590","3695.44","4072.76","3711.10"
"2016/10/10","01:45:00","4377","10726695","3714.05","4092.48","3723.82"
"2016/10/10","02:00:00","4324","10726800","3700.67","4078.36","3701.90"
"2016/10/10","02:15:00","4324","10726900","3698.36","4073.86","3710.04"
"2016/10/10","02:30:00","4354","10727005","3709.45","4084.25","3720.40"
"2016/10/10","02:45:00","4350","10727105","3709.37","4083.45","3713.83"
"2016/10/10","03:00:00","4325","10727210","3703.67","4071.19","3711.59"
"2016/10/10","03:15:00","4338","10727315","3702.43","4076.47","3712.68"
"2016/10/10","03:30:00","4344","10727415","3706.08","4082.19","3707.94"
"2016/10/10","03:45:00","4298","10727520","3696.48","4065.86","3705.92"
"2016/10/10","04:00:00","4363","10727620","3711.21","4081.27","3718.42"
"2016/10/10","04:15:00","4382","10727725","3717.36","4088.55","3722.42"
"2016/10/10","04:30:00","4352","10727825","3707.70","4078.28","3716.45"
"2016/10/10","04:45:00","4366","10727930","3713.45","4089.28","3720.30"
"2016/10/10","05:00:00","4375","10728035","3713.70","4090.21","3722.91"
"2016/10/10","05:15:00","4381","10728140","3724.14","4094.17","3726.91"
"2016/10/10","05:30:00","4384","10728240","3722.97","4094.24","3728.06"
"2016/10/10","05:45:00","4375","10728345","3720.77","4091.38","3724.84"
"2016/10/10","06:00:00","4447","10728450","3738.14","4108.81","3740.60"
"2016/10/10","06:15:00","4444","10728555","3733.27","4102.54","3740.77"
"2016/10/10","06:30:00","4469","10728660","3737.97","4112.62","3743.73"
"2016/10/10","06:45:00","4461","10728765","3741.44","4110.56","3747.02"
"2016/10/10","07:00:00","4678","10728870","3797.04","4162.95","3802.21"
"2016/10/10","07:15:00","4662","10728980","3795.41","4172.01","3792.42"
"2016/10/10","07:30:00","4659","10729090","3790.33","4165.36","3790.09"
"2016/10/10","07:45:00","4723","10729200","3795.65","4174.73","3802.52"
"2016/10/10","08:00:00","4880","10729315","3834.94","4210.26","3843.76"
"2016/10/10","08:15:00","4885","10729425","3833.22","4213.00","3843.68"
"2016/10/10","08:30:00","5003","10729545","3869.73","4247.37","3876.97"
"2016/10/10","08:45:00","5105","10729660","3892.81","4275.58","3904.21"
"2016/10/10","09:00:00","5054","10729780","3885.18","4263.60","3894.22"
"2016/10/10","09:15:00","5058","10729905","3887.65","4268.15","3890.50"
"2016/10/10","09:30:00","5172","10730025","3914.56","4294.53","3925.08"
"2016/10/10","09:45:00","5227","10730145","3926.70","4304.57","3940.57"
"2016/10/10","10:00:00","5126","10730270","3905.00","4282.79","3918.49"
"2016/10/10","10:15:00","5178","10730395","3917.09","4298.06","3926.47"
"2016/10/10","10:30:00","5157","10730515","3913.08","4292.96","3921.61"
"2016/10/10","10:45:00","5127","10730640","3907.75","4287.25","3919.33"
"2016/10/10","11:00:00","5118","10730765","3907.84","4282.24","3916.37"
"2016/10/10","11:15:00","5180","10730885","3920.76","4294.62","3929.92"
"2016/10/10","11:30:00","5041","10731010","3885.54","4256.30","3895.85"
"2016/10/10","11:45:00","5260","10731130","3940.14","4320.88","3950.36"
"2016/10/10","12:00:00","5184","10731255","3917.92","4297.10","3930.02"
"2016/10/10","12:15:00","5226","10731375","3931.03","4309.02","3939.49"
"2016/10/10","12:30:00","5061","10731500","3893.49","4264.50","3903.89"
"2016/10/10","12:45:00","5183","10731620","3925.78","4298.19","3931.98"
"2016/10/10","13:00:00","5229","10731745","3930.37","4304.30","3946.63"
"2016/10/10","13:15:00","5075","10731870","3901.57","4269.83","3903.64"
"2016/10/10","13:30:00","5166","10731995","3918.66","4292.01","3930.48"
"2016/10/10","13:45:00","5230","10732120","3936.23","4310.30","3938.01"
"2016/10/10","14:00:00","5168","10732240","3921.23","4298.24","3933.23"
"2016/10/10","14:15:00","5214","10732365","3936.25","4312.22","3943.95"
"2016/10/10","14:30:00","5237","10732490","3932.94","4314.62","3947.21"
"2016/10/10","14:45:00","5278","10732610","3944.98","4328.57","3955.21"
"2016/10/10","15:00:00","5152","10732735","3917.66","4292.58","3924.12"
"2016/10/10","15:15:00","5291","10732860","3949.97","4330.57","3960.77"
"2016/10/10","15:30:00","5281","10732990","3948.49","4329.31","3957.89"
"2016/10/10","15:45:00","5297","10733115","3948.56","4334.63","3965.19"
"2016/10/10","16:00:00","5308","10733240","3950.44","4335.54","3973.10"
"2016/10/10","16:15:00","5265","10733365","3951.49","4327.11","3950.48"
"2016/10/10","16:30:00","5287","10733490","3952.74","4324.91","3956.35"
"2016/10/10","16:45:00","5331","10733615","3959.66","4330.67","3973.38"
"2016/10/10","17:00:00","5136","10733740","3912.27","4283.49","3922.23"
"2016/10/10","17:15:00","5221","10733865","3929.73","4300.87","3947.52"
"2016/10/10","17:30:00","5201","10733990","3927.93","4301.85","3947.54"
"2016/10/10","17:45:00","5249","10734115","3929.49","4306.21","3949.20"
"2016/10/10","18:00:00","5303","10734240","3944.15","4322.63","3959.90"
"2016/10/10","18:15:00","5123","10734365","3906.51","4278.35","3910.19"
"2016/10/10","18:30:00","5168","10734490","3919.85","4276.53","3926.74"
"2016/10/10","18:45:00","5274","10734615","3946.10","4306.81","3948.84"
"2016/10/10","19:00:00","5225","10734740","3937.25","4295.48","3938.91"
"2016/10/10","19:15:00","5116","10734860","3904.12","4271.80","3912.12"
"2016/10/10","19:30:00","5189","10734985","3921.15","4283.61","3929.04"
"2016/10/10","19:45:00","5149","10735110","3910.55","4277.21","3922.72"
"2016/10/10","20:00:00","5242","10735235","3932.42","4295.91","3942.40"
"2016/10/10","20:15:00","5066","10735360","3885.67","4252.00","3894.57"
"2016/10/10","20:30:00","5142","10735480","3897.02","4268.95","3910.10"
"2016/10/10","20:45:00","5076","10735605","3884.75","4254.73","3894.04"
"2016/10/10","21:00:00","5031","10735725","3873.18","4250.31","3882.45"
"2016/10/10","21:15:00","5007","10735845","3865.21","4245.58","3877.46"
"2016/10/10","21:30:00","4949","10735965","3851.22","4226.86","3863.95"
"2016/10/10","21:45:00","4943","10736085","3848.06","4224.60","3865.48"
"2016/10/10","22:00:00","4931","10736205","3841.36","4219.13","3859.43"
"2016/10/10","22:15:00","4819","10736320","3817.17","4191.84","3830.76"
"2016/10/10","22:30:00","4795","10736435","3817.57","4191.57","3830.20"
"2016/10/10","22:45:00","4728","10736550","3796.72","4171.67","3811.06"
"2016/10/10","23:00:00","4701","10736665","3790.87","4164.25","3808.43"
"2016/10/10","23:15:00","4672","10736775","3780.68","4156.86","3795.93"
"2016/10/10","23:30:00","4694","10736885","3781.84","4165.03","3798.95"
"2016/10/10","23:45:00","4641","10737000","3771.47","4152.03","3784.38"
"2016/10/11","00:00:00","4622","10737110","3766.90","4147.55","3779.95"
"2016/10/11","00:15:00","4553","10737220","3755.05","4130.02","3767.72"
"2016/10/11","00:30:00","4676","10737330","3779.61","4156.61","3796.06"
"2016/10/11","00:45:00","4545","10737440","3756.42","4128.20","3770.02"
"2016/10/11","01:00:00","4617","10737550","3774.17","4152.21","3788.10"
"2016/10/11","01:15:00","4479","10737655","3732.71","4111.87","3749.04"
"2016/10/11","01:30:00","4491","10737765","3738.83","4119.54","3752.27"
"2016/10/11","01:45:00","4437","10737870","3719.77","4101.55","3732.89"
"2016/10/11","02:00:00","4486","10737980","3732.97","4115.93","3750.67"
"2016/10/11","02:15:00","4408","10738085","3727.58","4102.61","3732.55"
"2016/10/11","02:30:00","4452","10738190","3732.05","4111.01","3742.93"
"2016/10/11","02:45:00","4409","10738295","3726.21","4100.08","3728.61"
"2016/10/11","03:00:00","4556","10738400","3753.99","4135.16","3768.69"
"2016/10/11","03:15:00","4407","10738510","3721.19","4096.29","3732.26"
"2016/10/11","03:30:00","4455","10738615","3737.39","4110.97","3746.34"
"2016/10/11","03:45:00","4373","10738720","3714.06","4088.98","3719.72"
"2016/10/11","04:00:00","4409","10738825","3724.68","4101.11","3733.48"
"2016/10/11","04:15:00","4403","10738930","3721.56","4098.49","3732.78"
"2016/10/11","04:30:00","4469","10739035","3733.87","4116.76","3745.66"
"2016/10/11","04:45:00","4470","10739140","3736.97","4113.00","3748.82"
"2016/10/11","05:00:00","4453","10739245","3733.06","4111.54","3739.68"
"2016/10/11","05:15:00","4538","10739350","3753.17","4130.18","3763.92"
"2016/10/11","05:30:00","4486","10739455","3742.16","4117.07","3748.39"
"2016/10/11","05:45:00","4452","10739565","3732.67","4104.94","3738.37"
"2016/10/11","06:00:00","4541","10739670","3755.27","4129.88","3754.48"
"2016/10/11","06:15:00","4737","10739775","3806.79","4184.27","3811.53"
"2016/10/11","06:30:00","4713","10739885","3795.40","4176.08","3804.55"
"2016/10/11","06:45:00","4788","10740000","3811.86","4190.70","3821.26"
"2016/10/11","07:00:00","4916","10740110","3851.80","4221.69","3855.61"
"2016/10/11","07:15:00","5007","10740225","3880.92","4249.56","3874.58"
"2016/10/11","07:30:00","5193","10740345","3922.67","4294.31","3923.84"
"2016/10/11","07:45:00","5465","10740465","3997.69","4366.14","3992.31"
"2016/10/11","08:00:00","5815","10740595","4077.24","4446.70","4074.10"
"2016/10/11","08:15:00","6062","10740730","4145.42","4516.27","4134.64"
"2016/10/11","08:30:00","6075","10740875","4149.79","4521.17","4143.51"
"2016/10/11","08:45:00","6213","10741020","4175.02","4553.00","4188.64"
"2016/10/11","09:00:00","6335","10741165","4210.79","4596.46","4223.02"
"2016/10/11","09:15:00","6329","10741320","4208.44","4585.78","4218.66"
"2016/10/11","09:30:00","6358","10741470","4217.65","4584.19","4225.29"
"2016/10/11","09:45:00","6401","10741625","4219.81","4599.63","4239.64"
